USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Flower Petunia-2 Purple      W1R1Fa AREF
copy of splib05a r 11047                                    
       0.350000       0.012070       0.000000
       0.351000       0.012070       0.000000
       0.352000       0.011850       0.000000
       0.353000       0.011626       0.000000
       0.354000       0.011393       0.000000
       0.355000       0.011150       0.000000
       0.356000       0.010908       0.000000
       0.357000       0.010676       0.000000
       0.358000       0.010464       0.000000
       0.359000       0.010266       0.000000
       0.360000       0.010072       0.000000
       0.361000       0.009874       0.000000
       0.362000       0.009679       0.000000
       0.363000       0.009495       0.000000
       0.364000       0.009328       0.000000
       0.365000       0.009176       0.000000
       0.366000       0.009037       0.000000
       0.367000       0.008907       0.000000
       0.368000       0.008786       0.000000
       0.369000       0.008673       0.000000
       0.370000       0.008569       0.000000
       0.371000       0.008478       0.000000
       0.372000       0.008407       0.000000
       0.373000       0.008358       0.000000
       0.374000       0.008325       0.000000
       0.375000       0.008295       0.000000
       0.376000       0.008265       0.000000
       0.377000       0.008252       0.000000
       0.378000       0.008281       0.000000
       0.379000       0.008365       0.000000
       0.380000       0.008475       0.000000
       0.381000       0.008570       0.000000
       0.382000       0.008621       0.000000
       0.383000       0.008645       0.000000
       0.384000       0.008671       0.000000
       0.385000       0.008725       0.000000
       0.386000       0.008817       0.000000
       0.387000       0.008955       0.000000
       0.388000       0.009138       0.000000
       0.389000       0.009335       0.000000
       0.390000       0.009510       0.000000
       0.391000       0.009636       0.000000
       0.392000       0.009731       0.000000
       0.393000       0.009827       0.000000
       0.394000       0.009950       0.000000
       0.395000       0.010109       0.000000
       0.396000       0.010310       0.000000
       0.397000       0.010557       0.000000
       0.398000       0.010848       0.000000
       0.399000       0.011177       0.000000
       0.400000       0.011541       0.000000
       0.401000       0.011941       0.000000
       0.402000       0.012384       0.000000
       0.403000       0.012876       0.000000
       0.404000       0.013444       0.000000
       0.405000       0.014118       0.000000
       0.406000       0.014929       0.000000
       0.407000       0.015903       0.000000
       0.408000       0.017069       0.000000
       0.409000       0.018443       0.000000
       0.410000       0.020007       0.000000
       0.411000       0.021735       0.000000
       0.412000       0.023601       0.000000
       0.413000       0.025592       0.000000
       0.414000       0.027695       0.000000
       0.415000       0.029902       0.000000
       0.416000       0.032213       0.000000
       0.417000       0.034628       0.000000
       0.418000       0.037147       0.000000
       0.419000       0.039753       0.000000
       0.420000       0.042429       0.000000
       0.421000       0.045152       0.000000
       0.422000       0.047899       0.000000
       0.423000       0.050640       0.000000
       0.424000       0.053350       0.000000
       0.425000       0.055997       0.000000
       0.426000       0.058552       0.000000
       0.427000       0.060994       0.000000
       0.428000       0.063345       0.000000
       0.429000       0.065636       0.000000
       0.430000       0.067887       0.000000
       0.431000       0.070078       0.000000
       0.432000       0.072175       0.000000
       0.433000       0.074148       0.000000
       0.434000       0.075970       0.000000
       0.435000       0.077613       0.000000
       0.436000       0.079060       0.000000
       0.437000       0.080330       0.000000
       0.438000       0.081449       0.000000
       0.439000       0.082443       0.000000
       0.440000       0.083332       0.000000
       0.441000       0.084131       0.000000
       0.442000       0.084853       0.000000
       0.443000       0.085494       0.000000
       0.444000       0.086042       0.000000
       0.445000       0.086492       0.000000
       0.446000       0.086849       0.000000
       0.447000       0.087118       0.000000
       0.448000       0.087306       0.000000
       0.449000       0.087413       0.000000
       0.450000       0.087438       0.000000
       0.451000       0.087381       0.000000
       0.452000       0.087241       0.000000
       0.453000       0.087019       0.000000
       0.454000       0.086718       0.000000
       0.455000       0.086333       0.000000
       0.456000       0.085863       0.000000
       0.457000       0.085306       0.000000
       0.458000       0.084663       0.000000
       0.459000       0.083940       0.000000
       0.460000       0.083141       0.000000
       0.461000       0.082269       0.000000
       0.462000       0.081330       0.000000
       0.463000       0.080328       0.000000
       0.464000       0.079264       0.000000
       0.465000       0.078138       0.000000
       0.466000       0.076950       0.000000
       0.467000       0.075703       0.000000
       0.468000       0.074398       0.000000
       0.469000       0.073038       0.000000
       0.470000       0.071629       0.000000
       0.471000       0.070176       0.000000
       0.472000       0.068685       0.000000
       0.473000       0.067160       0.000000
       0.474000       0.065606       0.000000
       0.475000       0.064025       0.000000
       0.476000       0.062422       0.000000
       0.477000       0.060799       0.000000
       0.478000       0.059160       0.000000
       0.479000       0.057507       0.000000
       0.480000       0.055844       0.000000
       0.481000       0.054174       0.000000
       0.482000       0.052513       0.000000
       0.483000       0.050876       0.000000
       0.484000       0.049272       0.000000
       0.485000       0.047689       0.000000
       0.486000       0.046107       0.000000
       0.487000       0.044513       0.000000
       0.488000       0.042920       0.000000
       0.489000       0.041345       0.000000
       0.490000       0.039805       0.000000
       0.491000       0.038318       0.000000
       0.492000       0.036898       0.000000
       0.493000       0.035557       0.000000
       0.494000       0.034284       0.000000
       0.495000       0.033068       0.000000
       0.496000       0.031899       0.000000
       0.497000       0.030781       0.000000
       0.498000       0.029725       0.000000
       0.499000       0.028735       0.000000
       0.500000       0.027802       0.000000
       0.501000       0.026913       0.000000
       0.502000       0.026057       0.000000
       0.503000       0.025235       0.000000
       0.504000       0.024453       0.000000
       0.505000       0.023713       0.000000
       0.506000       0.023014       0.000000
       0.507000       0.022354       0.000000
       0.508000       0.021730       0.000000
       0.509000       0.021137       0.000000
       0.510000       0.020571       0.000000
       0.511000       0.020028       0.000000
       0.512000       0.019510       0.000000
       0.513000       0.019019       0.000000
       0.514000       0.018558       0.000000
       0.515000       0.018122       0.000000
       0.516000       0.017702       0.000000
       0.517000       0.017293       0.000000
       0.518000       0.016892       0.000000
       0.519000       0.016498       0.000000
       0.520000       0.016109       0.000000
       0.521000       0.015730       0.000000
       0.522000       0.015363       0.000000
       0.523000       0.015013       0.000000
       0.524000       0.014681       0.000000
       0.525000       0.014370       0.000000
       0.526000       0.014079       0.000000
       0.527000       0.013806       0.000000
       0.528000       0.013546       0.000000
       0.529000       0.013296       0.000000
       0.530000       0.013057       0.000000
       0.531000       0.012833       0.000000
       0.532000       0.012624       0.000000
       0.533000       0.012430       0.000000
       0.534000       0.012251       0.000000
       0.535000       0.012086       0.000000
       0.536000       0.011935       0.000000
       0.537000       0.011797       0.000000
       0.538000       0.011674       0.000000
       0.539000       0.011563       0.000000
       0.540000       0.011465       0.000000
       0.541000       0.011377       0.000000
       0.542000       0.011297       0.000000
       0.543000       0.011225       0.000000
       0.544000       0.011159       0.000000
       0.545000       0.011099       0.000000
       0.546000       0.011046       0.000000
       0.547000       0.011000       0.000000
       0.548000       0.010962       0.000000
       0.549000       0.010932       0.000000
       0.550000       0.010908       0.000000
       0.551000       0.010889       0.000000
       0.552000       0.010874       0.000000
       0.553000       0.010862       0.000000
       0.554000       0.010853       0.000000
       0.555000       0.010847       0.000000
       0.556000       0.010844       0.000000
       0.557000       0.010842       0.000000
       0.558000       0.010840       0.000000
       0.559000       0.010836       0.000000
       0.560000       0.010831       0.000000
       0.561000       0.010827       0.000000
       0.562000       0.010826       0.000000
       0.563000       0.010825       0.000000
       0.564000       0.010823       0.000000
       0.565000       0.010817       0.000000
       0.566000       0.010810       0.000000
       0.567000       0.010806       0.000000
       0.568000       0.010807       0.000000
       0.569000       0.010812       0.000000
       0.570000       0.010819       0.000000
       0.571000       0.010828       0.000000
       0.572000       0.010837       0.000000
       0.573000       0.010847       0.000000
       0.574000       0.010858       0.000000
       0.575000       0.010873       0.000000
       0.576000       0.010896       0.000000
       0.577000       0.010931       0.000000
       0.578000       0.010977       0.000000
       0.579000       0.011032       0.000000
       0.580000       0.011096       0.000000
       0.581000       0.011167       0.000000
       0.582000       0.011245       0.000000
       0.583000       0.011330       0.000000
       0.584000       0.011425       0.000000
       0.585000       0.011535       0.000000
       0.586000       0.011664       0.000000
       0.587000       0.011812       0.000000
       0.588000       0.011981       0.000000
       0.589000       0.012172       0.000000
       0.590000       0.012381       0.000000
       0.591000       0.012602       0.000000
       0.592000       0.012834       0.000000
       0.593000       0.013077       0.000000
       0.594000       0.013335       0.000000
       0.595000       0.013610       0.000000
       0.596000       0.013900       0.000000
       0.597000       0.014202       0.000000
       0.598000       0.014513       0.000000
       0.599000       0.014835       0.000000
       0.600000       0.015171       0.000000
       0.601000       0.015523       0.000000
       0.602000       0.015887       0.000000
       0.603000       0.016258       0.000000
       0.604000       0.016634       0.000000
       0.605000       0.017014       0.000000
       0.606000       0.017400       0.000000
       0.607000       0.017796       0.000000
       0.608000       0.018201       0.000000
       0.609000       0.018617       0.000000
       0.610000       0.019044       0.000000
       0.611000       0.019478       0.000000
       0.612000       0.019915       0.000000
       0.613000       0.020352       0.000000
       0.614000       0.020789       0.000000
       0.615000       0.021229       0.000000
       0.616000       0.021675       0.000000
       0.617000       0.022125       0.000000
       0.618000       0.022580       0.000000
       0.619000       0.023038       0.000000
       0.620000       0.023497       0.000000
       0.621000       0.023956       0.000000
       0.622000       0.024414       0.000000
       0.623000       0.024875       0.000000
       0.624000       0.025346       0.000000
       0.625000       0.025832       0.000000
       0.626000       0.026335       0.000000
       0.627000       0.026853       0.000000
       0.628000       0.027389       0.000000
       0.629000       0.027952       0.000000
       0.630000       0.028551       0.000000
       0.631000       0.029195       0.000000
       0.632000       0.029890       0.000000
       0.633000       0.030639       0.000000
       0.634000       0.031446       0.000000
       0.635000       0.032320       0.000000
       0.636000       0.033270       0.000000
       0.637000       0.034305       0.000000
       0.638000       0.035430       0.000000
       0.639000       0.036651       0.000000
       0.640000       0.037974       0.000000
       0.641000       0.039411       0.000000
       0.642000       0.040973       0.000000
       0.643000       0.042671       0.000000
       0.644000       0.044508       0.000000
       0.645000       0.046485       0.000000
       0.646000       0.048608       0.000000
       0.647000       0.050893       0.000000
       0.648000       0.053360       0.000000
       0.649000       0.056026       0.000000
       0.650000       0.058899       0.000000
       0.651000       0.061985       0.000000
       0.652000       0.065284       0.000000
       0.653000       0.068783       0.000000
       0.654000       0.072464       0.000000
       0.655000       0.076326       0.000000
       0.656000       0.080441       0.000000
       0.657000       0.084895       0.000000
       0.658000       0.089742       0.000000
       0.659000       0.094897       0.000000
       0.660000       0.100239       0.000000
       0.661000       0.105677       0.000000
       0.662000       0.111224       0.000000
       0.663000       0.116926       0.000000
       0.664000       0.122814       0.000000
       0.665000       0.128889       0.000000
       0.666000       0.135140       0.000000
       0.667000       0.141556       0.000000
       0.668000       0.148116       0.000000
       0.669000       0.154799       0.000000
       0.670000       0.161585       0.000000
       0.671000       0.168471       0.000000
       0.672000       0.175454       0.000000
       0.673000       0.182530       0.000000
       0.674000       0.189687       0.000000
       0.675000       0.196913       0.000000
       0.676000       0.204190       0.000000
       0.677000       0.211498       0.000000
       0.678000       0.218809       0.000000
       0.679000       0.226106       0.000000
       0.680000       0.233394       0.000000
       0.681000       0.240687       0.000000
       0.682000       0.247983       0.000000
       0.683000       0.255224       0.000000
       0.684000       0.262337       0.000000
       0.685000       0.269285       0.000000
       0.686000       0.276174       0.000000
       0.687000       0.283146       0.000000
       0.688000       0.290304       0.000000
       0.689000       0.297596       0.000000
       0.690000       0.304932       0.000000
       0.691000       0.312229       0.000000
       0.692000       0.319426       0.000000
       0.693000       0.326472       0.000000
       0.694000       0.333333       0.000000
       0.695000       0.340061       0.000000
       0.696000       0.346729       0.000000
       0.697000       0.353384       0.000000
       0.698000       0.359978       0.000000
       0.699000       0.366435       0.000000
       0.700000       0.372711       0.000000
       0.701000       0.378871       0.000000
       0.702000       0.385011       0.000000
       0.703000       0.391196       0.000000
       0.704000       0.397369       0.000000
       0.705000       0.403447       0.000000
       0.706000       0.409365       0.000000
       0.707000       0.415140       0.000000
       0.708000       0.420808       0.000000
       0.709000       0.426401       0.000000
       0.710000       0.431934       0.000000
       0.711000       0.437415       0.000000
       0.712000       0.442846       0.000000
       0.713000       0.448193       0.000000
       0.714000       0.453413       0.000000
       0.715000       0.458471       0.000000
       0.716000       0.463356       0.000000
       0.717000       0.468065       0.000000
       0.718000       0.472639       0.000000
       0.719000       0.477293       0.000000
       0.720000       0.482289       0.000000
       0.721000       0.487778       0.000000
       0.722000       0.493476       0.000000
       0.723000       0.498991       0.000000
       0.724000       0.504035       0.000000
       0.725000       0.508754       0.000000
       0.726000       0.513398       0.000000
       0.727000       0.518161       0.000000
       0.728000       0.522997       0.000000
       0.729000       0.527801       0.000000
       0.730000       0.532493       0.000000
       0.731000       0.537081       0.000000
       0.732000       0.541599       0.000000
       0.733000       0.546061       0.000000
       0.734000       0.550394       0.000000
       0.735000       0.554507       0.000000
       0.736000       0.558338       0.000000
       0.737000       0.561935       0.000000
       0.738000       0.565374       0.000000
       0.739000       0.568716       0.000000
       0.740000       0.571954       0.000000
       0.741000       0.575068       0.000000
       0.742000       0.578038       0.000000
       0.743000       0.580862       0.000000
       0.744000       0.583540       0.000000
       0.745000       0.586073       0.000000
       0.746000       0.588460       0.000000
       0.747000       0.590699       0.000000
       0.748000       0.592793       0.000000
       0.749000       0.594758       0.000000
       0.750000       0.596614       0.000000
       0.751000       0.598374       0.000000
       0.752000       0.600033       0.000000
       0.753000       0.601580       0.000000
       0.754000       0.603014       0.000000
       0.755000       0.604382       0.000000
       0.756000       0.605743       0.000000
       0.757000       0.607096       0.000000
       0.758000       0.608208       0.000000
       0.759000       0.608788       0.000000
       0.760000       0.608686       0.000000
       0.761000       0.608319       0.000000
       0.762000       0.608242       0.000000
       0.763000       0.608875       0.000000
       0.764000       0.610083       0.000000
       0.765000       0.611592       0.000000
       0.766000       0.613159       0.000000
       0.767000       0.614662       0.000000
       0.768000       0.616007       0.000000
       0.769000       0.617128       0.000000
       0.770000       0.618058       0.000000
       0.771000       0.618854       0.000000
       0.772000       0.619567       0.000000
       0.773000       0.620223       0.000000
       0.774000       0.620841       0.000000
       0.775000       0.621435       0.000000
       0.776000       0.622011       0.000000
       0.777000       0.622572       0.000000
       0.778000       0.623118       0.000000
       0.779000       0.623652       0.000000
       0.780000       0.624177       0.000000
       0.781000       0.624693       0.000000
       0.782000       0.625201       0.000000
       0.783000       0.625699       0.000000
       0.784000       0.626185       0.000000
       0.785000       0.626658       0.000000
       0.786000       0.627113       0.000000
       0.787000       0.627548       0.000000
       0.788000       0.627961       0.000000
       0.789000       0.628352       0.000000
       0.790000       0.628723       0.000000
       0.791000       0.629097       0.000000
       0.792000       0.629497       0.000000
       0.793000       0.629940       0.000000
       0.794000       0.630407       0.000000
       0.795000       0.630867       0.000000
       0.796000       0.631299       0.000000
       0.797000       0.631713       0.000000
       0.798000       0.632123       0.000000
       0.799000       0.632541       0.000000
       0.800000       0.632956       0.000000
       0.801000       0.633351       0.000000
       0.802000       0.633717       0.000000
       0.803000       0.634074       0.000000
       0.804000       0.634449       0.000000
       0.805000       0.634859       0.000000
